,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2015-12-01,-11.763857756712309,-10.992839477094734,-11.64413226064931,-10.763969104129425,,-10.216685135439645,-13.78685170925313,-1.3769935990011881,0.4372083097828705
2016-01-01,-11.990422731983328,-11.321903901285067,-11.929905132410365,-11.00991273246466,,-10.338935465123877,-13.9016663123113,-1.5699866936660283,0.14209243457960108
2016-02-01,-11.753577789077331,-10.916302121468831,-11.570840498393423,-10.66749260725912,,-10.173755334008934,-13.672584531206116,-1.5794958856756147,0.3081677756723215
2016-03-01,-11.945818093249938,-10.956307281776228,-11.76917835345618,-10.878694119789724,,-10.415384217582666,-13.897917949997183,-1.7661010635001628,0.06559765455417771
2016-04-01,-11.992895155595052,-10.88466210979722,-11.765566929008248,-10.902511920269502,,-10.525184468727476,-13.902147761473442,-1.9018812396064404,-0.06557033908143367
2016-05-01,-12.262984501589013,-11.263686513361169,-12.055976985518509,-11.183267564795026,,-10.791208110460046,-14.161364046802362,-2.006756803289561,-0.37589016569482026
2016-06-01,-12.31056437571526,-11.15270999030729,-12.078041738351857,-11.268780277187888,,-10.8397236340674,-14.233369710773404,-2.066477097302809,-0.5321068608145699
2016-07-01,-12.482052177535556,-11.458940912461049,-12.328370137806575,-11.432994888075294,,-10.92922245083417,-14.44147152805682,-2.196322010127476,-0.5843019941859088
2016-08-01,-12.231616824133846,-11.703104637389586,-12.096320830549042,-11.050901341269434,,-10.489508515645838,-14.03844402882622,-2.1776774448076077,-0.06261964924759855
2016-09-01,-12.302436916913528,-11.74256447134604,-12.190478711049318,-11.116667046584121,,-10.569436095485312,-14.074391878447427,-2.243950362185212,-0.1768285320956665
2016-10-01,-12.67795288862356,-12.146648847643172,-12.724092015457074,-11.492834145804892,,-10.93665176078818,-14.34219002278592,-2.649944784114652,-0.45056732256943055
2016-11-01,-12.645659825519335,-12.392345031198804,-13.044885524207649,-11.38494304541287,,-10.479298159901818,-14.351391771943856,-2.5760190549276802,-0.2879948698410645
2016-12-01,-12.765792777500971,-12.496428198716078,-13.236904129454343,-11.488329873334976,,-10.538461065526556,-14.287394538699981,-2.7718249196085396,-0.5384653959647149
2017-01-01,-12.910865006583041,-12.815006100742844,-13.383169568077198,-11.593150842923412,,-10.625703057033395,-14.176269000792695,-3.009725951805155,-0.7702892035049776
2017-02-01,-12.997702072980367,-12.953178352361476,-13.431957182675015,-11.579079099394916,,-10.91997103107332,-14.344285834572858,-2.721688384621433,-1.0310133049619357
2017-03-01,-12.98317055067836,-13.1406087463462,-13.220556906037379,-11.496259704169839,,-11.00072044150771,-14.455846725581706,-2.7525908129504795,-0.8128691969535888
2017-04-01,-13.000180675870189,-13.109965914842354,-13.108887532291842,-11.538292728912708,,-10.918716003149054,-14.555743568648396,-3.0098187361779747,-0.7570989258673722
2017-05-01,-12.917695117984128,-12.996911488435337,-13.101978470617258,-11.474174192605453,,-10.875080616054236,-14.627983168142316,-2.7552038140183117,-0.5897927548143674
2017-06-01,-13.114938522570435,-13.070474641979553,-13.307949623915247,-11.872938328861627,,-11.077305456144819,-14.859620640253421,-2.808050612605073,-0.8054890330316946
2017-07-01,-13.246522627000068,-13.32549172711807,-13.294493700565065,-12.145023495897503,,-11.141860873835194,-14.977707937078344,-2.959440405522755,-0.8788989277819326
2017-08-01,-13.358177286374858,-13.27452323700983,-13.445388756263638,-12.413936194221339,,-11.288987605711233,-15.2218129614649,-2.9045621840085505,-0.955288744742901
2017-09-01,-13.53477041480684,-13.20830352131182,-13.446997910078672,-12.53995315377547,,-11.651550481059981,-15.472477691226887,-3.390713316866718,-1.0306555081267241
2017-10-01,-13.559321084839636,-13.23576101198462,-13.86598834650563,-12.267515963976635,,-11.576236470569057,-15.40969844712609,-3.642795149403212,-0.9145108831106059
2017-11-01,-13.580333074135634,-12.88689043368717,-13.825310691700876,-12.2618108400078,,-11.894315585430677,-15.244569785314187,-3.872467794951098,-1.0742250666560271
2017-12-01,-13.669461866297198,-13.178424619261092,-13.951935311776053,-12.294072134576155,,-12.016357526684699,-15.026517207883357,-3.905269375273243,-1.3109155674241824
2018-01-01,-13.750184497170984,-13.075724109869663,-14.15239318213783,-12.691202973254057,,-12.058686107323478,-15.115213812242121,-4.055531026576694,-1.0997989475914411
2018-02-01,-13.931318969725577,-12.926515964142123,-14.361900026035162,-12.874351813258155,,-12.251250208548946,-15.185528822952046,-4.195188352291515,-1.7217562796494827
2018-03-01,-14.190973326270365,-13.006051049893452,-14.656217619022756,-13.058369706853236,,-12.683954147946855,-15.403455213929814,-4.49732562224508,-2.0286986027997522
2018-04-01,-14.220617152117988,-12.815327527838985,-14.88546758254528,-13.139055980818986,,-13.190666179599852,-15.072330901611215,-4.203575464478978,-2.235155106731016
2018-05-01,-14.30859543348605,-12.903521015454237,-15.073739973619126,-12.719180082457342,,-13.511112626807401,-15.324593402456989,-4.081275665873609,-2.544003946532029
2018-06-01,-14.38564642683204,-12.925647230704266,-15.121066064665362,-12.824428906578634,,-13.817460901148067,-15.354024677375792,-3.956315942305765,-2.697839943844784
2018-07-01,-14.478993439561709,-13.201394243462726,-15.383327115199867,-12.986372880086153,,-13.760956242499885,-15.351718891051803,-3.8690206625514016,-2.797422720878526
2018-08-01,-14.603342259515914,-13.250210989923955,-15.665921546450003,-13.222402517126987,,-13.901706763039163,-15.405386853150217,-3.9722914214416476,-2.8027344042778246
2018-09-01,-14.583638548808494,-13.272677826578207,-15.533374773721308,-13.117386118973771,,-13.945588908156562,-15.59228978451144,-3.9169762092450395,-2.70443489927153
2018-10-01,-14.64941816094217,-13.21902961218695,-15.489710760080422,-13.113506264086066,,-14.152190754071489,-15.784655806465096,-4.020298640584577,-2.7637939679189873
2018-11-01,-14.857029502937765,-13.01262727790233,-15.478452318802884,-13.185480271135374,,-14.582374672993897,-16.254639716790866,-4.385846527067964,-3.097044414669435
2018-12-01,-14.92849863807773,-13.305323093363269,-15.637227072836628,-13.302311876746474,,-14.660938289653101,-16.28673854377423,-3.9515297373884577,-3.352680531580353
2019-01-01,-14.962270672377654,-12.932481884953964,-15.398880401383657,-13.148533146981325,,-14.876197754334154,-16.594129553522098,-4.0058807167374555,-3.7770499275293252
2019-02-01,-15.128138937637672,-12.725230130452536,-15.427322410473867,-13.3338359708814,,-14.982568419785718,-16.93816997283494,-4.32630375455127,-4.160800583282369
2019-03-01,-15.232478388884772,-12.893465975143652,-15.615824128393108,-13.756150443133992,,-14.99401986361332,-17.083552263961007,-3.9718294611213056,-4.309765265625417
2019-04-01,-15.266188151444558,-13.327651015822966,-15.606072274610968,-13.764141700946556,,-14.95841482457474,-17.07429163706917,-3.8357207759121885,-4.294283509973717
2019-05-01,-15.535076150647614,-13.253076757306124,-15.948129329770335,-14.04067729939049,,-15.236140575610811,-17.539719152646548,-4.117555282507362,-4.607493336100025
2019-06-01,-15.541483175960984,-12.920116207317898,-15.666433666346373,-13.798249319031227,,-15.462281070982609,-17.982032850943533,-4.0501911731928715,-4.908336622710782
2019-07-01,-15.681508803851443,-12.784032961600527,-15.821022601803323,-14.043463472450716,,-15.604077498011586,-18.103554194790757,-4.442077375045677,-4.969592202055928
2019-08-01,-15.814748001417563,-12.606680332229654,-16.21858840326407,-14.47503466832832,,-15.740770542898257,-18.20706218688161,-4.311154917770071,-5.141203637349366
2019-09-01,-16.022831409516865,-12.97368643350603,-15.96869118126659,-14.68147076282539,,-16.063130333304702,-18.553566948615792,-4.366238122769207,-5.550294763128756
2019-10-01,-16.25088970993658,-13.0784075048222,-15.907148176975959,-14.915219353917905,,-16.465091708078962,-19.01890953315427,-4.231804764186515,-6.136905607218665
2019-11-01,-16.186220298449147,-12.902928972728064,-15.828668173874286,-14.847051908119733,,-16.523192812431418,-18.879983931350594,-4.260990120942639,-6.057984848495729
2019-12-01,-16.385016572108903,-12.866710049531376,-15.873812919783369,-15.264716832959405,,-16.84699230508772,-19.090943707101793,-4.429332480250924,-6.319866388846169
2020-01-01,-16.381111094947396,-12.61414013826235,-15.706445147047207,-15.236814691172082,,-17.01594902151616,-19.415393506961795,-4.238799113997408,-6.4374947244732095
2020-02-01,-16.58571288503357,-12.883447948942525,-16.09787575657559,-15.523270590206137,,-16.998422511463854,-19.55174897285265,-4.682973091834681,-6.359510002157991
2020-03-01,-16.87485580885247,-13.235930159206548,-16.09409883606332,-15.798975802049933,,-17.389609417869277,-20.00148462300031,-4.8549073625897785,-6.746243139986552
2020-04-01,-16.804440748777285,-12.934760546772823,-16.03283094869685,-15.53219191073328,,-17.768989197941053,-19.862939171838264,-4.602401182817931,-6.894230961439227
2020-05-01,-16.808428812955334,-13.061233085456344,-15.950125885503834,-15.583501670304123,,-17.740215388377603,-19.93962374744336,-4.599122929591571,-6.782437662808944
2020-06-01,-16.754308348638666,-12.965787223127144,-15.795184037951387,-15.418636351216115,-0.3052032544489463,-17.704973670005028,-19.88471027576023,-4.5171309358156515,-6.631670906627927
2020-07-01,-17.006303708057334,-13.131569387321049,-15.947527585460003,-15.749484814733412,-0.5556476708452223,-17.995100352964915,-20.273884911039854,-4.947417191900422,-6.638627616036909
2020-08-01,-17.04577570058827,-13.237980406271511,-15.964031225694391,-15.71244770321715,-0.6114533836586632,-17.888813758267236,-20.380725585294993,-5.0367922931542966,-6.722791114991028
2020-09-01,-17.18515321415432,-13.629827192222937,-16.237500032177568,-15.907026060660355,-0.4152044292665983,-17.958047328128764,-20.55591040952601,-5.193887649139846,-6.772652477955591
2020-10-01,-16.951590160503805,-13.464257714408024,-15.992279439692584,-15.642575587234008,-0.07626401894413593,-17.672104521130795,-20.35691543238666,-4.995726747898746,-6.601427688178606
2020-11-01,-17.139189560027305,-13.715857679924568,-16.10296379274202,-15.745334991765008,-0.18226098368868843,-17.86793085089216,-20.601107362287454,-5.180894393188457,-6.905996291573198
2020-12-01,-17.23075027952705,-13.55282839765772,-16.42926304774365,-15.82940670980064,-0.32688351517335257,-18.25865609278782,-20.53998899734269,-5.283201305966226,-6.814604035587414
2021-01-01,-17.351457535969367,-13.810937306950905,-16.555918789735873,-15.94352707169063,-0.37300348559399293,-18.355915324124737,-20.79877974000836,-5.4715781426062735,-6.690830292887265
2021-02-01,-17.365562988228188,-14.030430768898665,-16.693725855987847,-16.08340480529902,0.13960950182510595,-17.938847098293476,-21.280265388461782,-5.561217926418513,-6.665051430134414
2021-03-01,-17.52810262441964,-13.956802923455465,-16.615372653539826,-16.11868170865049,-0.08910835339546846,-18.35541065355009,-21.39568587658502,-5.829802565806413,-7.052786126217448
2021-04-01,-17.5292850047679,-13.719869124757004,-16.550509974219963,-16.16970231658698,-0.00507096982330886,-18.58143599399646,-21.618367528243688,-5.80021432989437,-6.977939666464534
2021-05-01,-17.772595229720594,-13.982291917934916,-16.90304948742485,-16.507235262907987,-0.2637452779979545,-18.771736369329698,-21.391079086880055,-6.146604107671275,-7.4038501934611265
2021-06-01,-17.937486237664633,-14.373515563434314,-17.12229351003563,-16.806641298672623,-0.5652794554422578,-18.868033481185535,-21.55527146456663,-6.121202694218589,-7.276482299604599
2021-07-01,-18.04120648146708,-14.364830371019073,-17.28875948191578,-17.019148418543445,-0.6170839834112545,-18.69882238142284,-21.653163648872418,-6.338966348417949,-7.53770708397697
