date,whole_market,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2017-12-01,-5.506016137667392,-9.1961006191185,-4.245265059998308,-2.581478309273903,,-3.3368135658791163,-4.204263383297159,-1.4030919421411094,0.22578805074445216
2018-01-01,-5.453021778583928,-9.152118002988919,-4.290785099124394,-2.686715912888445,,-3.0875302975809227,-4.090360786320235,-1.5312641518522023,0.46850993537572444
2018-02-01,-5.359237030233881,-9.005048453116917,-3.720675611556799,-2.2220000976454353,,-3.241026191221013,-4.040792024534556,-1.8264837611377764,0.34225506228342895
2018-03-01,-5.344847631173806,-9.018131414708318,-3.732727583590567,-2.2314525839198915,,-3.1473933164203647,-3.978072880092031,-2.019042449010881,0.5137749442335151
2018-04-01,-5.729550408640778,-9.556277504781923,-4.211169392792311,-2.610964901647928,,-3.574663022896377,-3.9660719066330747,-2.4693075027101083,0.08248950568438396
2018-05-01,-5.876467717522518,-9.812575383625674,-4.499333039791086,-2.8938247180512118,,-3.666374395420942,-3.947818254053887,-2.432630362797654,-0.08182973420906
2018-06-01,-5.629514962979292,-9.728378449583271,-4.255112103597504,-2.63861514316223,,-3.433424355142097,-3.8513042451613244,-2.103074830298756,0.40419252079824564
2018-07-01,-5.764074091595794,-9.724521117686685,-4.33785420069656,-2.701045528409961,,-3.8296460623995427,-3.966822873170015,-2.372996742388617,0.38525601828893197
2018-08-01,-5.802976545813379,-9.834674861411175,-4.5855932410536395,-2.922538264230281,,-3.605393719884038,-3.9119831121815736,-2.4251185275016964,0.4653540402768634
2018-09-01,-5.6480674915687565,-9.707645241343602,-4.369553742040762,-2.730996704128842,,-3.4889111206579844,-3.6998564213257277,-2.211903785378988,0.47328270860272065
2018-10-01,-5.78810321257717,-9.837128626003116,-4.375937742000279,-2.7122529192824665,,-3.774393718080584,-3.8569843283999465,-2.396001140205414,0.23686412063973047
2018-11-01,-6.010723179614616,-9.756717636661246,-4.555926623525758,-3.0644456355504697,,-4.130041460635204,-4.0925106133461675,-2.6363208215008935,-0.038211331374461005
2018-12-01,-6.191630358414756,-9.686844934928246,-4.532032755998357,-3.2631532482150436,,-4.448643881753561,-4.177956986621801,-3.0784592561104747,-0.35343331056769145
2019-01-01,-6.454754025363598,-9.875867293063257,-4.654876330024209,-3.4545245276979157,,-4.7376519382851185,-4.527647559015615,-3.4761545839754935,-0.6556678107754642
2019-02-01,-6.618693271542101,-9.82487646702252,-4.8764814181034275,-3.7175938960314787,,-4.8480865727639575,-4.837755367928395,-3.7178072803095166,-0.7073637639273015
2019-03-01,-6.596801366526156,-9.76464202477012,-4.885217286116941,-3.694303169834711,,-4.790246536518349,-4.844871529873728,-3.6183793592386637,-0.7790615246224726
2019-04-01,-6.271646334344743,-9.403710942704386,-4.441821895789386,-3.3537092989334005,,-4.4737468499941215,-4.552757681049813,-3.478508164167365,-0.3963813730666216
2019-05-01,-6.144801273643351,-9.247855843590962,-4.344961658594594,-3.371126354897485,,-4.365645125390184,-4.291436877591435,-3.4300306251721775,-0.16166429555851303
2019-06-01,-6.2816816028688445,-9.348019616031841,-4.354852411081084,-3.5524374998559827,,-4.8793212330734965,-4.442345166118289,-3.319203499153285,-0.2747036600598295
2019-07-01,-6.41506109661716,-9.826864944162491,-4.630814910243162,-3.71002580900572,,-4.871545346603413,-4.454008938160442,-3.330896854023585,-0.2803827394132084
2019-08-01,-6.630887909023779,-10.132857216270274,-4.724235863215204,-3.777759923535961,,-5.136461942901802,-4.640785677892165,-3.5396855369630966,-0.6635410676798488
2019-09-01,-6.687364567358907,-10.160650651946485,-4.750876723650819,-3.7886692450585864,,-5.180830234813342,-4.6305939364862825,-3.828857285579792,-0.6701857592689419
2019-10-01,-6.650393358430851,-10.060857502943767,-4.55003456093879,-3.7527141215346287,,-5.168012987447746,-4.7324332661445,-3.7433630463017353,-0.7444498889966907
2019-11-01,-6.772530437017124,-10.305887349251645,-4.839539243588529,-4.054535939358569,,-5.193152036106328,-4.591342883982027,-3.481952239606477,-1.1404152325181915
2019-12-01,-6.726539548061135,-10.448825976725258,-4.810102888350812,-4.073734488698387,,-5.140751016360219,-4.299369628195182,-3.4193198744056974,-1.0927848289842883
2020-01-01,-6.639133432598931,-10.2947480180529,-4.723267627607848,-3.994063170202155,,-5.012253635014552,-4.173977515521917,-3.4931385911256863,-0.9815973359593575
2020-02-01,-6.550135723226484,-10.382721606852185,-4.835333423600552,-3.967394325892651,,-4.794864336055759,-4.015531664718209,-3.342695049289157,-0.7115215214687748
2020-03-01,-6.500434554945538,-10.299814162205895,-4.9793277751418,-4.126156961986047,,-4.639400820693281,-3.8481700720121914,-3.232792083858761,-0.5764918740126898
2020-04-01,-6.331312644607715,-10.492281575882473,-5.0617435026366095,-4.13591127186047,,-4.165083588087986,-3.3663843324862457,-3.019690698709348,-0.2772054078827721
2020-05-01,-6.60951477876648,-10.873088932498717,-5.483666584169241,-4.478735684245643,,-4.26659970629769,-3.5921491884746053,-3.3207221643316953,-0.4507530566396655
2020-06-01,-6.6519644952993335,-10.98708576219706,-5.529210518598005,-4.401983132254598,,-4.329120913374193,-3.5350943544540185,-3.447251496710379,-0.5331171547989794
2020-07-01,-6.577474936859455,-11.021848897692552,-5.417593208336024,-4.263715044370349,,-4.188690395264781,-3.1593028679845565,-3.592577155019839,-0.5977088546399832
2020-08-01,-6.69992764106873,-11.246384779775365,-5.690820036756919,-4.427811493647707,,-4.265146895745127,-3.0881021702917755,-3.816971446478492,-0.563368530077624
2020-09-01,-6.744796935717456,-11.402612673241173,-5.79003044093588,-4.358392151438075,,-4.041644750100006,-2.8727601408224115,-4.126805919748614,-0.8204443390279305
2020-10-01,-6.691030882668427,-11.134360533653984,-5.709295274326994,-4.3507954521395895,,-4.029471099357011,-2.874354846123459,-4.048700578390137,-0.8893502599797067
2020-11-01,-6.653755004875027,-11.25095591483536,-5.855349341613182,-4.48764570990128,1.0,-4.160394113019723,-2.9405640366809087,-3.7940875636723423,-1.2491243419008884
2020-12-01,-6.678920451391196,-11.581339886969594,-6.132431488833985,-4.726553313671273,1.369246015482967,-3.79215351727237,-2.825218733819519,-4.027138287535877,-1.2238553811333865
