Wind代码,交易日期,货币代码,昨收盘价(点),开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交金额(千元),unnamed_12,unnamed_13
399006.SZ,20101020,1,995.92,986.65,1024.58,986.03,1004.54,8.62,0.8655,34381.74,11730252.4576,33361,20101020180000000
399006.SZ,20101021,1,1004.54,1001.68,1001.68,983.66,991.84,-12.7,-1.2643,21619.44,7155691.3912,33361,20101021180000000
399006.SZ,20101022,1,991.84,991.14,1023.7,991.14,1013.45,21.61,2.1784,23777.33,8008473.6844,33361,20101022180000000
399006.SZ,20101025,1,1013.45,1018.08,1043.09,1018.08,1039.05,25.61,2.5266,27294.64,9349804.4611,33361,20101025180000000
399006.SZ,20101026,1,1039.05,1041.53,1041.91,1020.94,1036.01,-3.05,-0.2932,29679.23,11256502.9012,33361,20101026180000000
399006.SZ,20101027,1,1036.01,1034.86,1048.56,1028.7,1030.59,-5.41,-0.5226,24438.31,8963388.2408,33361,20101027180000000
399006.SZ,20101028,1,1030.59,1024.7,1038.62,1023.49,1038.62,8.03,0.7791,22693.92,8471493.6933,33361,20101028180000000
399006.SZ,20101029,1,1038.62,1042.4,1069.75,1042.4,1064.52,25.9,2.4937,30974.04,11544181.6069,33361,20101029180000000
399006.SZ,20101101,1,1064.52,1071.63,1113.62,1071.63,1107.52,43.0,4.0395,37548.25,14242636.5925,33361,20101101180000000
399006.SZ,20101102,1,1107.52,1108.09,1108.09,1074.58,1075.15,-32.37,-2.9229,32926.37,12447464.0419,33361,20101102180000000
399006.SZ,20101103,1,1075.15,1063.2,1063.2,1040.55,1040.62,-34.53,-3.2116,22245.95,8194693.4333,33361,20101103180000000
399006.SZ,20101104,1,1040.62,1041.42,1057.71,1037.24,1057.71,17.09,1.6426,17591.13,6392806.9438,33361,20101104180000000
399006.SZ,20101105,1,1057.71,1067.87,1072.22,1058.26,1072.22,14.5,1.3714,22373.35,8252892.1183,33361,20101105180000000
399006.SZ,20101108,1,1072.22,1077.5,1107.06,1077.5,1107.06,34.84,3.2495,25791.73,9730492.1285,33361,20101108180000000
399006.SZ,20101109,1,1107.06,1110.43,1117.52,1102.01,1115.65,8.59,0.7757,26221.16,9958052.5084,33361,20101109180000000
399006.SZ,20101110,1,1115.65,1115.74,1147.48,1113.75,1141.58,25.93,2.3246,29740.84,11130953.8295,33361,20101110180000000
399006.SZ,20101111,1,1141.58,1137.08,1163.7,1132.36,1132.72,-8.86,-0.7761,31809.96,11899691.414,33361,20101111180000000
399006.SZ,20101112,1,1132.72,1126.85,1140.63,1080.27,1082.24,-50.48,-4.4567,36123.39,16217641.5402,33361,20101112180000000
399006.SZ,20101115,1,1082.24,1087.81,1148.54,1086.52,1148.54,66.3,6.1261,29810.8,12781418.0822,33361,20101115180000000
399006.SZ,20101116,1,1148.54,1154.41,1175.31,1111.5,1126.18,-22.36,-1.9472,39645.87,15919421.6774,33361,20101116180000000
399006.SZ,20101117,1,1126.18,1115.12,1132.86,1080.93,1085.35,-40.83,-3.6252,28297.95,10875057.0563,33361,20101117180000000
399006.SZ,20101118,1,1085.35,1090.14,1102.84,1077.06,1102.84,17.5,1.612,22387.9,8470644.9695,33361,20101118180000000
399006.SZ,20101119,1,1102.84,1106.75,1153.17,1105.59,1153.17,50.33,4.5633,32336.15,12096800.5223,33361,20101119180000000
399006.SZ,20101122,1,1153.17,1153.26,1194.2,1151.76,1174.94,21.77,1.8876,40253.88,15662365.5238,33361,20101122180000000
399006.SZ,20101123,1,1174.94,1172.06,1183.84,1148.81,1183.5,8.56,0.7289,28987.66,11296674.4886,33361,20101123180000000
399006.SZ,20101124,1,1183.5,1176.42,1208.45,1174.68,1208.45,24.95,2.108,28690.98,11210070.0472,33361,20101124180000000
399006.SZ,20101125,1,1208.45,1212.77,1215.74,1177.83,1186.36,-22.09,-1.8281,28325.84,11069243.1691,33361,20101125180000000
399006.SZ,20101126,1,1186.36,1184.8,1200.5,1179.28,1196.02,9.66,0.8143,23504.41,9326841.1296,33361,20101126180000000
399006.SZ,20101129,1,1196.02,1195.31,1221.74,1193.41,1220.11,24.09,2.0143,26852.59,10786042.5449,33361,20101129180000000
399006.SZ,20101130,1,1220.11,1219.08,1219.12,1146.97,1181.5,-38.61,-3.1641,31632.57,12525799.7887,33361,20101130180000000
399006.SZ,20101201,1,1181.5,1176.61,1182.57,1169.89,1177.18,-4.33,-0.3664,16122.21,6449476.6887,33361,20101201180000000
399006.SZ,20101202,1,1177.18,1187.1,1192.8,1177.81,1177.84,0.66,0.0565,17671.32,7208343.2961,33361,20101202180000000
399006.SZ,20101203,1,1177.84,1177.17,1178.67,1148.09,1157.94,-19.9,-1.6896,17026.13,6748121.7973,33361,20101203180000000
399006.SZ,20101206,1,1157.94,1157.72,1159.3,1124.94,1134.38,-23.56,-2.0343,15623.58,6184401.3148,33361,20101206180000000
399006.SZ,20101207,1,1134.38,1132.33,1162.58,1123.76,1161.69,27.31,2.4074,12804.6,5119899.8685,33361,20101207180000000
399006.SZ,20101208,1,1161.69,1160.92,1176.42,1158.1,1160.24,-1.45,-0.1251,13458.52,5479290.6345,33361,20101208180000000
399006.SZ,20101209,1,1160.24,1158.82,1160.91,1144.18,1144.53,-15.71,-1.3539,18069.55,7859629.1921,33361,20101209180000000
399006.SZ,20101210,1,1144.53,1139.83,1167.68,1136.33,1166.8,22.27,1.9458,15693.02,6674189.0135,33361,20101210180000000
399006.SZ,20101213,1,1166.8,1175.51,1210.75,1175.51,1209.27,42.47,3.6399,23013.8,9731481.4394,33361,20101213180000000
399006.SZ,20101214,1,1209.27,1211.46,1219.71,1204.66,1218.52,9.25,0.7648,20476.76,8569487.9363,33361,20101214180000000
399006.SZ,20101215,1,1218.52,1217.81,1224.04,1209.29,1211.8,-6.72,-0.5512,23192.63,10289328.2349,33361,20101215180000000
399006.SZ,20101216,1,1211.8,1209.62,1233.62,1209.34,1225.03,13.23,1.0914,21278.1,8816229.5561,33361,20101216180000000
399006.SZ,20101217,1,1225.03,1222.93,1233.39,1222.93,1232.98,7.95,0.6491,20595.15,8599738.8838,33361,20101217180000000
399006.SZ,20101220,1,1232.98,1235.67,1239.6,1180.53,1212.34,-20.64,-1.6744,27023.85,11802206.1393,33361,20101220180000000
399006.SZ,20101221,1,1212.34,1212.09,1222.3,1204.48,1215.02,2.68,0.2215,18859.49,7935691.0892,33361,20101221180000000
399006.SZ,20101222,1,1215.02,1214.77,1215.79,1199.68,1201.65,-13.38,-1.1008,21094.99,9215363.3465,33361,20101222180000000
399006.SZ,20101223,1,1201.65,1198.74,1200.76,1175.86,1176.36,-25.28,-2.104,18771.44,8295889.4195,33361,20101223180000000
399006.SZ,20101224,1,1176.36,1170.7,1170.7,1140.13,1144.5,-31.86,-2.7085,16303.36,7045270.5647,33361,20101224180000000
399006.SZ,20101227,1,1144.5,1145.7,1154.53,1100.52,1105.3,-39.21,-3.4256,15678.96,6535094.8424,33361,20101227180000000
399006.SZ,20101228,1,1105.3,1098.94,1099.18,1080.4,1091.48,-13.81,-1.2497,14395.67,5774803.8325,33361,20101228180000000
399006.SZ,20101229,1,1091.48,1091.82,1113.31,1091.82,1113.31,21.83,1.9998,16159.75,6762599.057,33361,20101229180000000
399006.SZ,20101230,1,1113.31,1113.56,1122.41,1106.43,1117.21,3.9,0.3507,14094.47,5905897.5393,33361,20101230180000000
399006.SZ,20101231,1,1117.21,1117.36,1138.47,1117.36,1137.66,20.45,1.8303,13911.23,5869734.2888,33361,20101231180000000
399006.SZ,20110104,1,1137.66,1142.17,1155.52,1140.04,1155.11,17.44,1.5333,16958.81,7403007.6019,33361,20110104180000000
399006.SZ,20110105,1,1155.11,1153.91,1159.12,1146.38,1155.35,0.24,0.021,16835.27,7341839.7729,33361,20110105180000000
